;2;3;4;5;
[5(70.000000%)|5(40.000000%)|5(40.000000%)];8363€|87.8119%|12.1881%|8.32667e-15%;11202€|93.1103%|6.88972%|-9.71445e-15%;15003.8€|92.7979%|7.20213%|1.249e-14%;19019.4€|92.4886%|7.51137%|1.38778e-15%;
[5(70.000000%)|5(40.000000%)|6(40.000000%)];8363€|89.1881%|10.8119%|0%;11202€|91.9795%|8.02053%|9.71445e-15%;15003.8€|94.6649%|5.33512%|1.17961e-14%;19019.4€|91.5081%|8.49186%|-1.38778e-15%;
[5(70.000000%)|6(40.000000%)|0(40.000000%)];8363€|87.6268%|12.3732%|2.77556e-15%;11202€|91.8715%|8.12854%|1.249e-14%;15003.8€|90.0665%|8.93353%|1%;19019.4€|93.4168%|6.58322%|-4.16334e-15%;
[5(70.000000%)|6(40.000000%)|4(40.000000%)];8363€|90.344%|9.656%|-1.11022e-14%;11202€|88.5466%|7.45344%|4%;15003.8€|91.5861%|7.41392%|1%;19019.4€|93.9424%|6.05755%|-7.63278e-15%;
[5(70.000000%)|6(40.000000%)|5(40.000000%)];8363€|86.123%|11.877%|2%;11202€|94.0255%|5.97446%|1.38778e-15%;15003.8€|92.4135%|7.58651%|-5.55112e-15%;19019.4€|93.7293%|6.27074%|-1.11022e-14%;
[5(70.000000%)|6(40.000000%)|6(40.000000%)];8363€|82.7243%|15.2757%|2%;11202€|93.6372%|6.3628%|-4.16334e-15%;15003.8€|92.0757%|7.92432%|-2.77556e-15%;19019.4€|94.5645%|5.43546%|4.16334e-15%;
[6(70.000000%)|0(40.000000%)|0(40.000000%)];8363€|66.643%|33.357%|5.55112e-15%;11202€|83.8315%|16.1685%|2.77556e-15%;15003.8€|89.713%|10.287%|-2.77556e-15%;19019.4€|90.287%|9.71302%|-4.16334e-15%;
[6(70.000000%)|0(40.000000%)|4(40.000000%)];8363€|85.9374%|14.0626%|8.32667e-15%;11202€|91.2901%|7.70986%|1%;15003.8€|88.9394%|11.0606%|4.16334e-15%;19019.4€|94.2104%|5.78958%|6.245e-15%;
[6(70.000000%)|0(40.000000%)|5(40.000000%)];8363€|82.2965%|17.7035%|1.38778e-14%;11202€|91.9319%|8.06806%|6.93889e-15%;15003.8€|87.9116%|12.0884%|9.71445e-15%;19019.4€|94.1206%|5.87941%|3.46945e-15%;
[6(70.000000%)|0(40.000000%)|6(40.000000%)];8363€|88.7727%|11.2273%|-6.93889e-15%;11202€|90.1046%|9.89543%|-9.71445e-15%;15003.8€|89.6659%|10.3341%|5.55112e-15%;19019.4€|85.234%|11.766%|3%;
[6(70.000000%)|4(40.000000%)|0(40.000000%)];8363€|80.1634%|19.8366%|0%;11202€|89.9144%|10.0856%|-4.16334e-15%;15003.8€|91.9344%|8.06555%|-1.38778e-14%;19019.4€|89.1955%|10.8045%|0%;
[6(70.000000%)|4(40.000000%)|4(40.000000%)];8363€|90.4553%|9.54471%|-4.16334e-15%;11202€|88.7122%|11.2878%|4.16334e-15%;15003.8€|91.4592%|8.54081%|-6.93889e-15%;19019.4€|94.3918%|5.60823%|-5.55112e-15%;
[6(70.000000%)|4(40.000000%)|5(40.000000%)];8363€|87.4299%|12.5701%|-2.77556e-15%;11202€|90.8448%|9.15522%|-9.71445e-15%;15003.8€|89.8993%|9.10073%|1%;19019.4€|94.388%|5.61196%|6.245e-15%;
[6(70.000000%)|4(40.000000%)|6(40.000000%)];8363€|88.2728%|10.7272%|1%;11202€|90.5369%|9.46309%|6.93889e-15%;15003.8€|93.4021%|5.59793%|1%;19019.4€|94.6446%|5.35541%|-6.93889e-16%;
[6(70.000000%)|5(40.000000%)|0(40.000000%)];8363€|85.6749%|14.3251%|-1.66533e-14%;11202€|91.2395%|7.76047%|1%;15003.8€|87.7412%|12.2588%|-8.32667e-15%;19019.4€|91.0055%|8.99453%|9.71445e-15%;
[6(70.000000%)|5(40.000000%)|4(40.000000%)];8363€|90.1867%|9.81328%|-2.77556e-15%;11202€|93.7565%|6.24346%|6.245e-15%;15003.8€|93.0135%|6.98645%|-6.93889e-15%;19019.4€|93.8743%|6.12571%|-6.245e-15%;
