;1;2;3;4;5;
[5(70.000000%)|6(40.000000%)|4(40.000000%)];8297€|24.3385%|66.6615%|9%;4619€|2%|79.375%|18.625%;2823€|17%|27%|56%;1739.5€|11%|57%|32%;2183€|2.77556e-15%|49%|51%;
[5(70.000000%)|6(40.000000%)|5(40.000000%)];7759€|23%|72.0588%|4.94118%;3683€|30.3867%|61.6133%|8%;2907€|9.50634%|90.4937%|-2.22045e-14%;2394.75€|3%|42%|55%;1669.4€|21.6275%|41.3725%|37%;
[5(70.000000%)|6(40.000000%)|6(40.000000%)];8226€|12%|30%|58%;4591.5€|12.8713%|87.1287%|-1.11022e-14%;2800.67€|29.9452%|67.0548%|3%;2801€|12%|63%|25%;1904.4€|46.1154%|35.8846%|18%;
[6(70.000000%)|0(40.000000%)|0(40.000000%)];3416€|25.3488%|37.6512%|37%;1563€|55.2091%|30.7909%|14%;1335€|41.2925%|29.7075%|29%;1065€|21%|53%|26%;939.8€|32.4551%|66.5449%|1%;
[6(70.000000%)|0(40.000000%)|4(40.000000%)];5218€|14%|49%|37%;3162€|0%|81.3577%|18.6423%;2108.67€|45%|14%|41%;1837€|40.2581%|42.7419%|17%;1390€|29%|52%|19%;
[6(70.000000%)|0(40.000000%)|5(40.000000%)];6120€|36.8811%|63.1189%|0%;2857€|69%|17%|14%;2407.33€|11.4084%|61.5916%|27%;1645.5€|4%|50.2362%|45.7638%;1888€|30.0789%|65.9211%|4%;
[6(70.000000%)|0(40.000000%)|6(40.000000%)];5698€|13%|56%|31%;2889.5€|37.7848%|21.2152%|41%;2423.67€|38.3869%|47.6131%|14%;1595€|13%|10%|77%;1572€|39.6909%|44.3091%|16%;
[6(70.000000%)|4(40.000000%)|0(40.000000%)];3483€|0%|46%|54%;2698€|31.0559%|55.9441%|13%;1864€|22.9487%|30.0513%|47%;2092.5€|22.7933%|66.2067%|11%;1557.8€|31.2978%|68.7022%|0%;
[6(70.000000%)|4(40.000000%)|4(40.000000%)];6768€|52.0214%|38.9786%|9%;4470€|36.0074%|43.9926%|20%;3076€|16.5526%|46.4474%|37%;2476€|0%|55.381%|44.619%;1886€|44.0418%|36.9582%|19%;
[6(70.000000%)|4(40.000000%)|5(40.000000%)];7683€|19%|67%|14%;4107€|50.0717%|49.9283%|-5.55112e-15%;3574.33€|0%|11%|89%;2229.5€|4.2549%|26.7451%|69%;1856.6€|9%|82.3344%|8.66561%;
[6(70.000000%)|4(40.000000%)|6(40.000000%)];7217€|20.7368%|56.2632%|23%;4149.5€|4.74257%|62.2574%|33%;2624€|31.1699%|48.8301%|20%;2597€|38.3472%|44.6528%|17%;2104.4€|25%|0%|75%;
[6(70.000000%)|5(40.000000%)|0(40.000000%)];4377€|12.5842%|77.4158%|10%;3186€|30.6397%|49.3603%|20%;1832€|23.2173%|67.7827%|9%;1701.5€|15.1331%|75.8669%|9%;1392€|9.65747%|51.3425%|39%;
[6(70.000000%)|5(40.000000%)|4(40.000000%)];8243€|25%|18%|57%;4389€|67.5531%|32.4469%|5.55112e-15%;2633.33€|31%|19%|50%;1893.5€|3%|0%|97%;2242.8€|37.0517%|62.9483%|0%;
